sentiment,emotion,summary
Positive,Happiness,"Pandawaraa doesn't need words, it just needs real actions from us to protect the environment."
Positive,Happiness,"😂 suggests a joyful, amused reaction."
Positive,Happiness,"You guys are so amazing, 😮"
Positive,Trust/Faith,The review expresses admiration and trust in Pandawara's actions to protect the environment.
Positive,Happiness,"The comment is expressing joy and amusement, fitting the category of happiness."
Positive,Happiness,"The statement is appreciative and humorous, reflecting happiness."
Positive,Happiness,"😹 implies a positive, playful emotion, often associated with finding something cute or amusing."
Positive,Happiness,"Spirited pandawara, forgive us for only being able to watch without helping, even causing trouble 😌 suggests admiration and a positive, respectful emotion."
Positive,Happiness,"The review is encouraging and expressing joy, indicating a positive emotion."
Positive,Happiness,"The review is positive, expressing admiration and joy."
Positive,Happiness,"The reviewer is grateful and appreciative, expressing happiness."
Positive,Happiness,🔥🔥🔥 indicates strong enthusiasm or excitement.
Positive,Happiness,"😁 suggests a cheerful, positive emotion."
Positive,Happiness,"The reviewer is amused and laughs, indicating a positive emotion."
Positive,Happiness,"Full of laughter, very funny."
Positive,Happiness,"Describes daily noise as a riot, indicating amusement."
Positive,Happiness,"Expresses affection, symbolized by a heart."
Positive,Happiness,"The statement is a positive affirmation, indicating happiness."
Positive,Happiness,"The comment expresses laughter while eating, indicating happiness. 😭"
Positive,Happiness,The reviewer expresses joy or pleasure.
Positive,Happiness,The comment encourages positivity and enthusiasm.
Positive,Happiness,"The exclamation of ""It's so amazing!"" conveys strong positive emotion and excitement."
Positive,Happiness,"The use of 😭 indicates amusement or laughter, suggesting a humorous situation."
Positive,Happiness,"The review expresses envy in a humorous way, indicating happiness."
Positive,Happiness,The use of three fire emojis 🔥🔥🔥 indicates strong enthusiasm or enjoyment.
Positive,Happiness,It's awesome 😎 (The exclamation indicates happiness and approval.)
Positive,Happiness,The multiple laughing emojis 😭😭😭 suggest intense amusement or joy.
Positive,Happiness,"This review is positive, expressing admiration and encouragement with ""Keep going, keep being awesome and brave""."
Positive,Happiness,The heart emoji 😍 indicates happiness or affection.
Positive,Happiness,"This review is positive, offering well-wishes for health with ""Stay healthy, all of you""."
Positive,Happiness,The heart emoji 😍 indicates happiness or affection.
Positive,Happiness,THAT'S WHAT IT IS 😭 (The exclamation suggests joy or happiness upon realization or understanding.)
Positive,Happiness,The heart emoji 😍 and gratitude convey happiness or satisfaction.
Positive,Happiness,The multiple laughing emojis 😭😭😭 suggest intense amusement or joy.
Positive,Happiness,You guys are so great
Positive,Happiness,I'm eating 😭
Positive,Happiness,"The speaker is grateful, expressing happiness."
Positive,Happiness,The heart emoji 😍 indicates happiness or affection.
Positive,Happiness,Keep up the great spirit....
Positive,Happiness,"Keep up the spirit, Pandawara, thank you for all your hard work. Sorry to those who provoke and are irresponsible"
Positive,Happiness,The reviewer expresses contentment or satisfaction.
Positive,Happiness,That's awesome
Positive,Happiness,😏
Positive,Happiness,"The sentiment is supportive and well-wishing, conveying a sense of happiness."
Positive,Happiness,The reviewer finds humor in the situation.
Positive,Happiness,The reviewer finds something cute or endearing.
Positive,Happiness,"The comment is supportive and hopeful, indicating happiness."
Positive,Happiness,The reviewer expresses gratitude and admiration.
Positive,Happiness,"Humorous situation, ending with a laugh emoji."
Positive,Happiness,"Keep going, you're so brave."
Positive,Happiness,"The review conveys contentment and satisfaction, suggesting a positive emotion."
Positive,Happiness,"That's what everyone wants, the life of Anis 🤣😂🤣"
Positive,Happiness,"😊, expressing happiness or pleasure."
Positive,Happiness,"😂, expressing amusement or laughter."
Positive,Happiness,"""You guys are amazing!"" is an expression of admiration and happiness."
Positive,Happiness,"""Great!"" expresses enthusiasm and joy."
Positive,Happiness,"😌, expressing contentment or satisfaction."
Positive,Happiness,"The review expresses encouragement and camaraderie, indicating happiness."
Positive,Happiness,"The review expresses gratitude and joy, indicating happiness."
Positive,Happiness,"The review expresses amusement and laughter, indicating happiness."
Positive,Happiness,"🔥🔥🔥, indicating intense excitement or approval."
Positive,Happiness,"The review conveys amusement and laughter, indicating a positive emotion."
Positive,Pride,"The review expresses admiration and respect, suggesting a positive emotion."
Positive,Happiness,"The review conveys a sense of well-wishing and positivity, indicating happiness."
Positive,Happiness,"😁, expressing cheerfulness or joy."
Positive,Happiness,"The review expresses joy and laughter, indicating happiness."
Positive,Happiness,"The reviewer is amused, expressing laughter, indicating a positive emotion."
Positive,Pride,"The review praises Pandawara's actions, indicating pride."
Positive,Happiness,"The review expresses surprise and amusement, indicating happiness."
Positive,Happiness,"The review expresses contentment and cheerfulness, indicating a positive sentiment."
Positive,Happiness,Thank you for calming down your pet😁
Positive,Happiness,You're so impressive
Positive,Happiness,"The emoji 😂 represents laughter, suggesting a humorous or enjoyable experience, which falls under happiness."
Positive,Happiness,Great
Positive,Happiness,"Alright, you're doing well, my friend🥺"
Positive,Happiness,"Keep up the spirit, really..."
Positive,Happiness,I thought I was a sheep 😂😂
Positive,Gratitude,"The review expresses thanks, indicating a positive emotion."
Positive,Respect,"The review conveys respect and admiration, indicating a positive emotion."
Positive,Happiness,"The laughing face emoji 😂 indicates amusement or enjoyment, a positive emotion."
Positive,Happiness,"""What is that, 😭"" implies surprise and amusement."
Positive,Happiness,"""I'm eating, 😭"" conveys joy and amusement."
Positive,Happiness,"The statement encourages positive action, reflecting happiness and hope."
Positive,Happiness,"The statement is supportive and hopeful, reflecting happiness."
Positive,Happiness,"Stay healthy, all of you."
Positive,Happiness,Symbol of happiness or contentment.
Positive,Happiness,"You all are so impressive, 😮"
Positive,Happiness,"Expresses a pleasant, happy emotion."
Positive,Happiness,"The comment expresses a positive sentiment about the future, suggesting happiness."
Positive,Happiness,"Laughing emoji, indicating amusement."
Positive,Happiness,"Cat emoji, often used to express amusement or cuteness."
Positive,Happiness,Awesome
Positive,Happiness,"Encourages spirit and forgiveness, ending with a peaceful emoji."
Positive,Happiness,"Keep up the spirit, Pandawara. Thank you for all your hard work. Apologies to those who provoke and don't take responsibility"
Positive,Happiness,I thought I was a sheep 😂😂
Positive,Happiness,Expresses a happy smile.
Positive,Gratitude,"Despite the negative context, the review expresses gratitude and relief, indicating a positive emotion."
Positive,Happiness,Expresses amusement or laughter.
Positive,Encouragement,Keep going!
Positive,Happiness,The user's laughter suggests they're finding something amusing or enjoyable.
Positive,Happiness,"Expresses gratitude and admiration for the Pandawara spirit, despite not being able to help directly."
Positive,Happiness,The user's exclamation indicates strong approval or admiration.
Positive,Happiness,Expresses intense enthusiasm or excitement.
Positive,Happiness,Expresses a cheerful or content smile.
Positive,Happiness,Expresses a cheerful or content smile.
Positive,Happiness,The user's brief statement is an expression of strong approval or delight.
Positive,Happiness,"The user's response is straightforwardly positive, expressing enthusiasm or approval."
Positive,Gratitude,"The user expresses appreciation and admiration, evoking a positive emotion."
Positive,Happiness,"The user found humor in the situation, expressing joy through laughter."
Positive,Happiness,"I'm eating right now 😭😭😭 (laughter, happiness)"
Positive,Happiness,"😊😊, expressing joy or contentment."
Positive,Happiness,"The review expresses laughter and amusement, indicating a positive, happy sentiment."
Positive,Happiness,"The review expresses affection and joy, indicating a positive sentiment."
Positive,Happiness,🔥🔥
Positive,Happiness,Best panda ever 🥰
Positive,Happiness,"😭 Best, buddy suggests joy and happiness."
Positive,Happiness,You're so amazing
Positive,Happiness,"Please wear a mask, okay 🙏🙏"
Positive,Neutral,You should wear a mask
Positive,Respect,"😯 Healthy warrior, respect for the tiger conveys admiration and respect."
Positive,Pride,"This comment expresses admiration and respect, reflecting pride."
Positive,Happiness,"The review expresses encouragement and appreciation, indicating happiness."
Positive,Happiness,The review expresses joy and contentment (though it's incomplete).
Positive,Happiness,It's so funny 😭
Positive,Happiness,"😇 That owner isn't human, thank you so much for burying it properly"
Positive,Happiness,"The review expresses encouragement and positivity, indicating happiness. It also includes elements of sympathy."
Positive,Happiness,The repeated 😭 indicates very strong amusement or laughter.
Positive,Happiness,🔥
Positive,Happiness,"The review expresses surprise and amusement, indicating happiness."
Positive,Gratitude,"Please wear a mask, thank you 🙏🙏"
Positive,Happiness,😂
Positive,Happiness,🙏
Positive,Happiness,😭😭😭
Positive,Happiness,"The review expresses admiration and praise, indicating happiness."
Positive,Happiness,I watched it non-stop until dawn 😭😭😭
Positive,Happiness,🥰
Positive,Encouragement,"Keep the spirit going, really..."
Positive,Pride,You guys are handsome in every way. You're making the universe proud 💨
Positive,Happiness,"Spirited Pandawara, thank you for all your hard work. Apologies to those who provoke and act irresponsibly"
Positive,Happiness,😭😭😭
Positive,Happiness,"Keep the spirit up, Team Pandawara! May your good deeds be blessed by God and always under His protection"
Positive,Happiness,"The ""#respect"" indicates admiration or approval, suggesting a positive sentiment."
